,chromosome,start,end
ANKRD24,chr19,4183351,4224811
SP7,chr12,53720362,53739099
RASGEF1C,chr5,179527795,179636153
PTDSS2,chr11,448268,491393
SFRP5,chr10,99526508,99531709
UGT2B11,chr4,70065669,70080449
PAPPA-AS1,chr9,119160439,119162885
GOLGA7B,chr10,99609996,99631337
SLC39A7,chr6,33168222,33172216
EBI3,chr19,4229495,4237528
SP1,chr12,53773960,53810230
SERPINF2,chr17,1646130,1658562
PDE8A,chr15,85523671,85682376
EID2B,chr19,40021630,40023494
RBMXL3,chrX,114423963,114427431
SCNN1A,chr12,6456009,6486896
SLC35E1,chr19,16660642,16683193
PCDHGA6,chr5,140753651,140892546
MYCBP,chr1,39328636,39347289
PIFO,chr1,111888910,111895635
LUZP4,chrX,114524293,114542121
EID2,chr19,40028890,40030870
PMPCB,chr7,102937869,102969958
CCDC81,chr11,86085778,86134151
MCM6,chr2,136597196,136633996
PCDHGA7,chr5,140762467,140892546
LGALS13,chr19,40093164,40098116
PAQR6,chr1,156213206,156217881
PTPRJ,chr11,48002113,48189670
MIR5587,chr16,585316,585368
MIR3176,chr16,593277,593366
NCAPH2,chr22,50946645,50961901
CMAS,chr12,22199108,22218608
GJA9,chr1,39330175,39347289
PCDHGB4,chr5,140767452,140892546
LGALS16,chr19,40146534,40151287
GOT2,chr16,58741035,58768261
PLEKHS1,chr10,115511213,115543188
PCDHGA8,chr5,140772381,140892546
CPVL,chr7,29034847,29235067
OVGP1,chr1,111956936,111970399
OR4B1,chr11,48238344,48239314
PCDHGA9,chr5,140782520,140892546
OR4X2,chr11,48266608,48267622
LGALS14,chr19,40194946,40200084
RHBDL2,chr1,39351479,39407471
OR4X1,chr11,48285413,48286330
CEP41,chr7,130033612,130082274
BANK1,chr4,102332443,102995969
PCDHGB6,chr5,140787770,140892546
OR4S1,chr11,48327775,48328704
MIR662,chr16,820183,820277
MAFB,chr20,39314488,39317880
OR4C3,chr11,48346472,48347507
PCDHGA10,chr5,140792743,140892546
PON3,chr7,94989256,95025680
OR4C5,chr11,48387037,48388017
MED26,chr19,16685718,16739873
OR4A47,chr11,48510269,48511332
AKIRIN1,chr1,39456895,39471731
SPZ1,chr5,79615444,79617661
TOP1,chr20,39657458,39753127
RNU7-43P,chr17,8414443,8414506
RN7SL129P,chr17,8450235,8450526
TRIM49B,chr11,49050504,49059579
LINC01124,chr2,171568961,171571077
MAPK9,chr5,179660143,179719099
CLCNKA,chr1,16345370,16360545
PCDHGB7,chr5,140797427,140892546
LIN52,chr14,74551499,74667936
TRIM64C,chr11,49075266,49080664
ASTN2,chr9,119187504,120177348
PCDHGA11,chr5,140800762,140891835
TSSK4,chr14,24674903,24677568
CRTAC1,chr10,99624757,99790585
WDR77,chr1,111982512,111991998
EIF5A,chr17,7210318,7215774
HESX1,chr3,57231944,57260549
PCDHGA12,chr5,140810185,140892546
CCDC94,chr19,4247076,4269087
ZFHX4,chr8,77593454,77779521
SMG5,chr1,156219015,156252620
CELSR3,chr3,48673902,48700348
NTM,chr11,131240373,132206716
MCM2,chr3,127317066,127341276
SERPINF1,chr17,1665253,1680868
ATP6V0A1,chr17,40610862,40674629
ZFYVE16,chr5,79703832,79775169
SHD,chr19,4278598,4290721
HAUS7,chrX,152713124,152760978
RNH1,chr11,494512,507300
CDH8,chr16,61681146,62070939
UGT2B28,chr4,70146217,70160768
ATP5F1,chr1,111991486,112005395
CTGF,chr6,132269316,132272513
TIMP2,chr17,76849059,76921469
TMIGD2,chr19,4292229,4302428
PLCG1,chr20,39765600,39811629
ME3,chr11,86152150,86383678
VILL,chr3,38029550,38048679
ST8SIA1,chr12,22216707,22589975
NDUFS5,chr1,39491990,39500308
NDUFAF2,chr5,60240956,60448853
TRIM32,chr9,119449581,119463579
ALCAM,chr3,105085753,105295744
FOLH1,chr11,49168187,49230222
C1orf162,chr1,112016414,112021134
CNIH1,chr14,54893654,54908149
TLR4,chr9,120466610,120479149
FSD1,chr19,4304597,4323840
AMHR2,chr12,53817639,53825318
APPL1,chr3,57261765,57307496
CLC,chr19,40221890,40228668
LEUTX,chr19,40267235,40276775
CLCNKB,chr1,16370272,16383803
BRINP1,chr9,121915736,122131745
ADORA3,chr1,112025970,112106584
DARS,chr2,136664247,136743670
TMEM79,chr1,156252726,156262976
EFR3A,chr8,132916335,133025889
CHMP4A,chr14,24678789,24683075
PLS3,chrX,114795501,114885181
FAM131C,chr1,16384264,16400127
PRR13,chr12,53835389,53840429
PCDHGC3,chr5,140855580,140892542
SMIM7,chr19,16741562,16771253
PCDHGC4,chr5,140864741,140892546
PRSS23,chr11,86502101,86663952
STK25,chr2,242432089,242449145
DYRK1B,chr19,40315990,40324841
RAP1A,chr1,112084840,112259313
COL2A1,chr12,48366748,48398269
PRKCQ,chr10,6469105,6622263
ASL,chr7,65540785,65558545
DCUN1D3,chr16,20866247,20911706
SMIM15,chr5,60453536,60458301
EPHA2,chr1,16450832,16482582
PON2,chr7,95034175,95064510
SSTR5-AS1,chr16,1114093,1128707
SLC39A8,chr4,103172198,103352415
LYRM1,chr16,20911190,20936328
FAM212B,chr1,112223252,112298446
UGT2B4,chr4,70345883,70391732
PRSS29P,chr16,1310953,1313846
TTYH1,chr19,54926393,54948080
TPSP2,chr16,1336352,1338838
FZD4,chr11,86656721,86666433
CHN2,chr7,29161890,29553944
RPS20P2,chr16,1379079,1379778
C1orf85,chr1,156259880,156265463
RPS3AP2,chr16,1527831,1528584
GMFB,chr14,54941202,54955914
UGT2A1,chr4,70454135,70518965
VSX2,chr14,74706175,74729441
CDH11,chr16,64977656,65160015
DDX20,chr1,112297867,112310638
OC90,chr8,133036467,133071627
AKAP13,chr15,85923802,86292586
MOXD1,chr6,132617194,132722684
LGALS3BP,chr17,76967320,76976191
MEST,chr7,130126012,130146133
HHLA1,chr8,133073733,133123406
PEX2,chr8,77892494,77913280
TMEM135,chr11,86748886,87034800
SENP2,chr3,185300284,185351339
OPA1,chr3,193310933,193415612
STX7,chr6,132767006,132834337
DNAH3,chr16,20944433,21170762
MDP1,chr14,24683143,24685276
TMEM38A,chr19,16771938,16800840
LTBR,chr12,6484211,6500733
BGN,chrX,152760397,152775012
GPS2,chr17,7214643,7218883
UGT2A2,chr4,70454135,70505360
ZSWIM6,chr5,60628100,60841997
LENG8,chr19,54960065,54973217
TAAR9,chr6,132859429,132860470
TAAR8,chr6,132873832,132874860
TAAR6,chr6,132891461,132892498
PKIA,chr8,79428374,79517502
NEDD8-MDP1,chr14,24683161,24701558
KCND3,chr1,112313284,112531777
VHLL,chr1,156268415,156269428
TAAR5,chr6,132909731,132910877
ABCD4,chr14,74752126,74769759
TAAR2,chr6,132938161,132945414
SLC5A8,chr12,101549271,101604185
OR4C13,chr11,49973943,49974971
TAAR1,chr6,132966123,132967142
ARHGEF19,chr1,16524349,16539104
OR4C12,chr11,50003009,50004071
CGRRF1,chr14,54976530,55005567
OR4A5,chr11,51411378,51412448
R3HCC1L,chr10,99894387,100004654
VNN1,chr6,133002729,133035188
OR4A8P,chr11,51435459,51436403
ZC2HC1A,chr8,79578282,79632000
OR4C46,chr11,51515282,51516211
SCO2,chr22,50961997,50964868
TRIM48,chr11,55029658,55038595
CTTNBP2NL,chr1,112938803,113006078
C1orf134,chr1,16555368,16556038
OR4A16,chr11,55110627,55111707
OR4A15,chr11,55135360,55136394
RSG1,chr1,16558195,16563657
C5orf64,chr5,60933535,61047590
OR4C15,chr11,55321783,55322895
SULT1B1,chr4,70586880,70653679
PLCD1,chr3,38048987,38071253
GFPT2,chr5,179727690,179780387
LENG9,chr19,54972981,54974894
OR4C16,chr11,55339604,55340536
UTP20,chr12,101673887,101780394
DNAJC2,chr7,102952921,102985320
CDC42EP5,chr19,54976210,54984411
NWD1,chr19,16830787,16928774
CRCP,chr7,65579591,65619555
OR4C11,chr11,55370830,55371874
STAP2,chr19,4324040,4342783
OR4P4,chr11,55405834,55406772
FBXO42,chr1,16573334,16678949
WNT2B,chr1,113009163,113072787
OR4S2,chr11,55418380,55419315
OR4C6,chr11,55432614,55433671
IL7,chr8,79587978,79717758
SMYD4,chr17,1682779,1733928
RAB38,chr11,87846410,87908635
LAIR2,chr19,55009100,55021897
TYMP,chr22,50964181,50968485
OR5D13,chr11,55540914,55541858
OR5D14,chr11,55563032,55563976
ZHX3,chr20,39807088,39946312
OR5L1,chr11,55578854,55579952
OR5D18,chr11,55587086,55588073
CDH5,chr16,66400533,66438686
SULT1E1,chr4,70676498,70725870
OR5L2,chr11,55594695,55595630
NEDD8,chr14,24686058,24701660
SZRD1,chr1,16679070,16724640
OR5D16,chr11,55606228,55607214
TRIM51,chr11,55650773,55659286
KIF2A,chr5,61601989,61833076
VNN3,chr6,133043926,133055904
ODF3B,chr22,50968139,50971009
NCKIPSD,chr3,48701364,48723797
LPIN3,chr20,39969560,39989222
KIR3DX1,chr19,55043909,55057053
MPND,chr19,4343524,4360083
STMN2,chr8,80523049,80578410
CDK5RAP2,chr9,123151147,123342448
KLHDC7B,chr22,50986462,50989451
SYCE3,chr22,50989541,51001334
OR5W2,chr11,55681126,55682058
NFKB1,chr4,103422486,103538459
CBLB,chr3,105374305,105588396
OR5I1,chr11,55702932,55703876
OR10AG1,chr11,55734975,55735990
EMILIN3,chr20,39988606,39995467
OR5F1,chr11,55761157,55762101
CTSC,chr11,88026760,88070955
OR5AS1,chr11,55797895,55798869
OR8I2,chr11,55860753,55861762
BOK,chr2,242498136,242513546
OR8H2,chr11,55872519,55873457
OR8H3,chr11,55889849,55890787
LOXL4,chr10,100007447,100028007
OR8J3,chr11,55904247,55905194
SIN3B,chr19,16940211,16991164
OR8K5,chr11,55926870,55927793
PCBP2,chr12,53835525,53874946
THAP4,chr2,242523820,242576864
SH3GL1,chr19,4360367,4400544
LILRA2,chr19,55084387,55099027
CSN1S1,chr4,70796799,70812289
CXCR4,chr2,136871919,136875735
SAMD4A,chr14,55033815,55260033
CNOT6,chr5,179921412,180005405
CHD6,chr20,40030741,40247133
SPATA21,chr1,16713612,16763919
KCNQ3,chr8,133133108,133493200
OR5J2,chr11,55944094,55945032
OR8J2,chr11,55978334,55979298
OR5T2,chr11,55999490,56000737
BEAN1,chr16,66461200,66527432
C2CD5,chr12,22601517,22697480
OR5T3,chr11,56019676,56020698
TMEM159,chr16,21169698,21191937
OR5T1,chr11,56043029,56044146
OR8H1,chr11,56057529,56058566
CD27,chr12,6554033,6560884
OR8K3,chr11,56085783,56086721
OR8K1,chr11,56113421,56114507
OR8J1,chr11,56127691,56128764
OR8U1,chr11,56143100,56144029
PODXL2,chr3,127348024,127391652
GMPR2,chr14,24701628,24708448
TPST1,chr7,65670186,65885530
CPT1B,chr22,51007290,51017899
SENP1,chr12,48436681,48500091
OR5R1,chr11,56184734,56185708
AGTR2,chrX,115301975,115306225
LRRC6,chr8,133584320,133687838
OR5M9,chr11,56229945,56230877
OR5M3,chr11,56236964,56238014
KLHL25,chr15,86302554,86338261
CANT1,chr17,76987799,77005949
OR5M8,chr11,56257825,56258871
NECAP2,chr1,16767167,16786573
OR5M11,chr11,56309746,56310757
ZP2,chr16,21208773,21225831
SLC6A14,chrX,115567790,115592625
OR5M10,chr11,56344212,56345263
TAPBPL,chr12,6560856,6575683
OR5M1,chr11,56380031,56380978
OR5AP2,chr11,56408942,56409947
OR5AR1,chr11,56431138,56432163
MEGF9,chr9,123363091,123476748
AGBL1,chr15,86685227,87572283
CHAF1A,chr19,4402659,4445015
FRMD4A,chr10,13685706,14504141
HEY1,chr8,80676245,80680098
RPA1,chr17,1732996,1803376
PRR15,chr7,29603427,29606911
ANKS4B,chr16,21244986,21263750
KCTD7,chr7,66093868,66276446
FBXW2,chr9,123514256,123555690
TK2,chr16,66541906,66586447
TOM1L2,chr17,17746828,17875736
WIPF3,chr7,29846102,29956682
ASB14,chr3,57302375,57326710
ATG4B,chr2,242576628,242613272
GRM5,chr11,88237744,88799113
CT83,chrX,115592849,115594164
ASB4,chr7,95107756,95169544
THSD7B,chr2,137523115,138435287
CRYM,chr16,21250195,21314404
TYR,chr11,88910620,89028927
GCH1,chr14,55308726,55369570
RTN4RL1,chr17,1837971,1928639
PSMD5,chr9,123577774,123605262
ATP2B3,chrX,152783134,152848397
FAM231B,chr1,16865561,16866070
F2RL3,chr19,16999671,17003417
NBPF1,chr1,16888814,16940057
CHKB-CPT1B,chr22,51007298,51021394
PYROXD2,chr10,100143322,100174941
CCT3,chr1,156278759,156337664
LILRB1,chr19,55085346,55148979
UBXN6,chr19,4444996,4457819
SCGB3A1,chr5,180017103,180018540
C1QTNF1-AS1,chr17,77015291,77023737
PHF19,chr9,123617977,123639606
ABTB1,chr3,127391778,127399768
DLEC1,chr3,38080696,38165516
TMEM71,chr8,133697253,133772958
NTRK3,chr15,88418230,88799999
MACF1,chr1,39546988,39952849
HNMT,chr2,138721590,138773930
DNAH12,chr3,57327727,57530071
CPAMD8,chr19,17003758,17137625
KLHL13,chrX,117031776,117251303
OR9G1,chr11,56467864,56468781
OR9G4,chr11,56510303,56511287
IP6K2,chr3,48725436,48777786
NEURL4,chr17,7218947,7232712
OR5G3,chr11,56587052,56587980
MANBA,chr4,103552660,103682151
OR5AK2,chr11,56756347,56757342
NPIPB3,chr16,21413558,21459888
TRAF1,chr9,123664671,123691451
LRRC55,chr11,56949221,56959191
BTBD6,chr14,105714827,105717430
FLT4,chr5,180028506,180076624
APLNR,chr11,57001051,57004709
CSN2,chr4,70820974,70826725
CHKB,chr22,51017378,51039884
ST7L,chr1,113066140,113163447
C1QTNF1,chr17,77018896,77045870
STATH,chr4,70861647,70868287
SCRN1,chr7,29959719,30029905
TNKS1BP1,chr11,57067112,57092426
CKLF,chr16,66586466,66600154
C5,chr9,123714616,123812554
DPH1,chr17,1933404,1946724
VAMP1,chr12,6571403,6580153
TCF19,chr6,31126319,31134936
FKBP14,chr7,30050203,30066300
SSRP1,chr11,57093459,57103351
MRPS28,chr8,80830952,80942524
PSMC2,chr7,102984701,103009842
P2RX3,chr11,57105848,57138073
PHF20L1,chr8,133787618,133861052
PACS2,chr14,105766900,105864484
PRG3,chr11,57144242,57148623
HTN3,chr4,70894130,70902255
HAUS8,chr19,17160539,17186435
CCDC54,chr3,107096188,107097481
PDK4,chr7,95212811,95225803
PRG2,chr11,57154267,57158130
PLEKHA8,chr7,30067020,30170096
METTL9,chr16,21608539,21668794
RABGEF1,chr7,66147151,66276451
MAPK8IP2,chr22,51039114,51052409
OPCML,chr11,132284871,133402414
CKLF-CMTM1,chr16,66586490,66613038
VNN2,chr6,133065009,133084598
PTPRT,chr20,40701392,41818610
HPS1,chr10,100175955,100206684
COPG2,chr7,130146089,130353598
NOX4,chr11,89057524,89322779
TSACC,chr1,156307105,156316786
CAPZA1,chr1,113161795,113214241
SPATA19,chr11,133710526,133715433
TSGA13,chr7,130353488,130372268
TINF2,chr14,24708849,24711880
OR2Y1,chr5,180166042,180167099
SLC43A3,chr11,57174427,57195053
WDHD1,chr14,55405668,55493823
DYNC1I1,chr7,95401866,95739634
MRPL46,chr15,89002707,89010650
PLIN4,chr19,4502204,4517716
CMTM1,chr16,66600294,66613040
IGSF9B,chr11,133778459,133826880
IGSF6,chr16,21652609,21663981
CNTRL,chr9,123837141,123939888
MRPS11,chr15,89010684,89022222
MGAT1,chr5,180217541,180242652
PLIN5,chr19,4522543,4535236
DIMT1,chr5,61683081,61699766
BBX,chr3,107241783,107530171
LILRA1,chr19,55105047,55113555
LRRC48,chr17,17876127,17920203
VRTN,chr14,74769772,74826711
TPD52,chr8,80870571,81143467
MRPL51,chr12,6601150,6603007
SRSF6,chr20,42086568,42092245
JAM3,chr11,133938820,134021896
SYNDIG1L,chr14,74872596,74892805
FAM231A,chr1,16999498,17000007
FAM231C,chr1,17060447,17060956
DTYMK,chr2,242615157,242626406
TMEM248,chr7,66386212,66423538
NPC2,chr14,74942895,74960880
MOV10,chr1,113215763,113243368
SLC18B1,chr6,133090509,133119701
POU5F1,chr6,31132119,31148508
OTOA,chr16,21689835,21772050
CROCC,chr1,17066768,17299474
NRXN1,chr2,50145643,51259674
RHBG,chr1,156339003,156355011
LILRB4,chr19,55155340,55181810
PDE12,chr3,57542003,57552571
MGLL,chr3,127407909,127542051
RAB14,chr9,123940415,123985292
ARSA,chr22,51061182,51066607
L3MBTL1,chr20,42136320,42179590
ZFP62,chr5,180274611,180288286
ARF4,chr3,57557090,57583947
SPOPL,chr2,139259371,139331117
KLF14,chr7,130417401,130418888
ACAA1,chr3,38144620,38178733
HTN1,chr4,70916119,70924562
RPS12,chr6,133135580,133138703
MYO9B,chr19,17186591,17325346
LRG1,chr19,4536421,4540486
RTN4RL2,chr11,57228022,57245007
MFAP2,chr1,17300997,17307330
NCAPD3,chr11,134020014,134095348
NCAPD2,chr12,6602522,6641121
ETNK1,chr12,22778009,22843599
ENGASE,chr17,77071021,77084681
UBE2D3,chr4,103715540,103790053
MKLN1,chr7,130794855,131181395
OVCA2,chr17,1945327,1946724
ING5,chr2,242641450,242668893
SLC43A1,chr11,57252007,57283259
SEMA6B,chr19,4542600,4559820
DET1,chr15,89054790,89089906
HIC1,chr17,1957448,1962981
NXPH2,chr2,139428342,139537918
AEN,chr15,89164527,89175513
CMTM2,chr16,66613351,66622178
DENND6A,chr3,57611184,57678816
TNFAIP8L1,chr19,4639530,4655580
SBDS,chr7,66452664,66460588
KIAA0754,chr1,39876151,39882154
WDR44,chrX,117480036,117583924
BMP8A,chr1,39957318,39991607
C19orf10,chr19,4641386,4670382
ISG20,chr15,89179384,89199714
MAP3K12,chr12,53874274,53893847
SHANK3,chr22,51112843,51171726
ISCA2,chr14,74960423,74963809
MTURN,chr7,30174426,30202378
ATP13A2,chr1,17312453,17338423
PRKAR2A,chr3,48782030,48885279
ZNRF2,chr7,30323923,30452118
SLC26A5,chr7,102993177,103086624
ACR,chr22,51176624,51183762
CMTM3,chr16,66637777,66647795
FAM58A,chrX,152853377,152865500
KBTBD12,chr3,127634075,127706514
LRP1B,chr2,140988992,142889270
KIR3DL1,chr19,55235969,55378448
C4orf40,chr4,70999333,71042516
TEX22,chr14,105864916,105916443
RHOC,chr1,113243728,113250056
TGM1,chr14,24718320,24733638
TYW1,chr7,66460160,66704501
EYA4,chr6,133561736,133853258
SMG6,chr17,1963133,2207065
C1orf61,chr1,156374042,156400493
CMTM4,chr16,66648653,66730610
SEC61A1,chr3,127770484,127790526
TIMM10,chr11,57295936,57298276
ODAM,chr4,71062213,71070293
TRIM77,chr11,89443467,89451040
PABPC4,chr1,40026488,40042462
ACAN,chr15,89346674,89418585
TRIM49,chr11,89530823,89541743
SMTNL1,chr11,57308979,57318108
FDCSP,chr4,71091788,71100969
SOCS4,chr14,55493948,55516206
DPP9,chr19,4675236,4724685
TRIM64B,chr11,89602450,89609185
UBE2L6,chr11,57319129,57335757
NOD1,chr7,30464143,30518400
USE1,chr19,17326155,17330638
MAPK1IP1L,chr14,55518349,55536910
CSN3,chr4,71108305,71117145
GSN,chr9,123970072,124095121
TRIM49D1,chr11,89644279,89654935
CABS1,chr4,71200683,71202833
SMR3A,chr4,71226478,71232875
TRIM49C,chr11,89764274,89806558
LGALS3,chr14,55590828,55612126
RABL2B,chr22,51205929,51222091
SMR3B,chr4,71235810,71255961
GGCT,chr7,30536237,30591095
PROL1,chr4,71263599,71275911
IPO11,chr5,61699799,61924409
BTNL8,chr5,180326077,180377906
VPS26B,chr11,134094539,134117686
SERPING1,chr11,57364860,57382326
TG,chr8,133879203,134147147
PPM1J,chr1,113252616,113258099
DYNC1LI2,chr16,66754796,66785701
MTA1,chr14,105886159,105937066
NAALAD2,chr11,89864683,89926062
SLC25A20,chr3,48894369,48936426
SOX5,chr12,23682440,24103966
SGK2,chr20,42187608,42216877
KIR3DL3,chr19,55235984,55248003
THYN1,chr11,134118173,134123264
HCG27,chr6,31165537,31171745
FAM19A3,chr1,113263041,113269857
SDHB,chr1,17345217,17380665
STOM,chr9,124101355,124132531
DOCK11,chrX,117629861,117820126
D2HGDH,chr2,242673994,242708231
NPIPB4,chr16,21845890,21892148
AUTS2,chr7,69063905,70258054
HEYL,chr1,40089825,40105617
HLA-C,chr6,31236526,31239907
DUSP9,chrX,152907946,152916781
ATPAF2,chr17,17880723,17942523
RABGGTA,chr14,24734744,24740945
PADI2,chr1,17393256,17445948
SLC16A1,chr1,113454469,113499635
HAPLN3,chr15,89420519,89438857
BTNL3,chr5,180415845,180433727
GAL3ST2,chr2,242716240,242743623
KIR2DL4,chr19,55236002,55325972
PFKM,chr12,48498922,48540187
OCEL1,chr19,17337013,17340028
DAB2IP,chr9,124329336,124547809
ACAD8,chr11,134123389,134135749
PODXL,chr7,131185021,131242976
DLGAP5,chr14,55614830,55658396
UQCRC2,chr16,21963981,21994981
LRIG2,chr1,113615831,113674882
MUC7,chr4,71296209,71348714
CHORDC1,chr11,89934328,89956532
MFGE8,chr15,89441916,89456642
YPEL4,chr11,57412560,57417417
NEU4,chr2,242749920,242758739
RBFOX3,chr17,77085427,77613550
NBEAP3,chr22,16100517,16124973
SLC25A13,chr7,95749532,95951459
GARS,chr7,30634297,30673649
DUXAP8,chr22,16150776,16151397
NT5C1A,chr1,40124793,40137710
PNCK,chrX,152935185,152954465
TTLL11,chr9,124584207,124855885
PDZD9,chr16,21995186,22012433
CLP1,chr11,57416465,57429340
MEF2D,chr1,156433519,156470620
HPCAL4,chr1,40144320,40157361
CCDC79,chr16,66788879,66835523
ZBTB10,chr8,81397854,81438500
FEM1A,chr19,4791728,4795571
NDUFA8,chr9,124894745,124922098
TICAM1,chr19,4815944,4831716
IFT52,chr20,42219571,42275936
PADI1,chr1,17531621,17572500
ZDHHC5,chr11,57435219,57468659
MORN5,chr9,124922190,124962367
BTNL9,chr5,180467225,180488523
AMTN,chr4,71384257,71398459
ACAP1,chr17,7239848,7254797
HPSE2,chr10,100218875,100995619
TARBP2,chr12,53894705,53900215
CRHR2,chr7,30692200,30739745
PADI3,chr1,17575593,17610728
GRAMD4P2,chr22,16227138,16228807
POTEH-AS1,chr22,16274560,16278602
RNU6-816P,chr22,16276398,16276504
MED15P7,chr22,16333633,16342783
PLIN3,chr19,4838353,4867780
TCF21,chr6,134210276,134216691
PPIE,chr1,40157854,40229586
KIR2DL3,chr19,55249980,55295776
NF1P6,chr22,16345912,16355362
NEK2P2,chr22,16364867,16366204
AMBN,chr4,71457973,71473005
NDUFB1,chr14,92582466,92588261
PADI4,chr1,17634690,17690499
LTBP2,chr14,74964873,75079306
OR2V1,chr5,180551357,180552304
ABHD2,chr15,89630690,89745591
CISD2,chr4,103790135,103810399
ENPP7,chr17,77704681,77716021
OR2V2,chr5,180581943,180582890
KCTD11,chr17,7255208,7258258
ARHGAP42P3,chr22,16424125,16427059
YME1L1P1,chr22,16485399,16487973
BNIP3P2,chr22,16627920,16628496
C16orf52,chr16,22018959,22098855
ZNF72P,chr22,16634898,16651926
TMEM95,chr17,7258442,7260538
MED19,chr11,57471186,57479693
GAPDH,chr12,6643093,6647537
CBX2,chr17,77751931,77761782
LHX6,chr9,124964856,124991905
ABCD1P4,chr22,16868420,16871613
PABPC1P9,chr22,16904668,16906756
SLC9B1P4,chr22,16909690,16957613
MYD88,chr3,38179969,38184513
TRIM7,chr5,180620924,180632293
ZNF704,chr8,81540686,81787016
GLB1L3,chr11,134144139,134189458
MAGI3,chr1,113933371,114228545
MYBL2,chr20,42295754,42345136
CD47,chr3,107762145,107809872
TMX2,chr11,57480072,57508445
PAG1,chr8,81880045,82024303
RUVBL1,chr3,127783621,127872757
RBM18,chr9,124999903,125027118
ACTR3BP6,chr22,16967410,16969212
NR2F6,chr19,17342692,17356749
CHEK2P4,chr22,16984194,16990365
BMP8B,chr1,40222854,40254533
INMT,chr7,30737601,30797218
RLBP1,chr15,89753100,89764982
KYNU,chr2,143635067,143799890
FABP5,chr8,82192598,82197012
KCNMB3P1,chr22,17061816,17063607
VWA3A,chr16,22103859,22168287
FABP5P11,chr22,17075979,17076375
TBPL1,chr6,134273308,134311570
CPSF2,chr14,92588281,92630755
OXCT2,chr1,40235195,40237020
INMT-FAM188B,chr7,30791753,30931696
TPTEP1,chr22,17082777,17179632
GTSF1L,chr20,42354804,42355638
SLA,chr8,134048973,134115298
ENAM,chr4,71494461,71552533
KIR2DL1,chr19,55281263,55295774
GID4,chr17,17942606,17971718
IQGAP3,chr1,156495197,156542396
PDCD1,chr2,242792033,242801060
TOX2,chr20,42543504,42698256
PMP2,chr8,82352561,82359758
USHBP1,chr19,17359985,17393595
KIR2DS4,chr19,55344131,55360024
ARIH2OS,chr3,48955221,48956818
ARRDC5,chr19,4890449,4902879
OXSR1,chr3,38206580,38296979
TMX2-CTNND1,chr11,57480077,57559058
TNK1,chr17,7283853,7293093
FAT3,chr11,92085262,92629618
CXXC11,chr2,242811752,242815975
LRRC70,chr5,61874562,61877275
FABP9,chr8,82370576,82373814
MRRF,chr9,125026882,125085743
SLC25A15P5,chr22,17126585,17127471
PARP4P3,chr22,17134782,17140518
ANKRD62P1-PARP4P3,chr22,17134956,17160374
ANKRD62P1,chr22,17151980,17160383
CBX8,chr17,77765931,77775482
VWFP1,chr22,17170993,17185367
IGJ,chr4,71521258,71547534
HSFY1P1,chr22,17308364,17310225
PLXNA4,chr7,131808091,132333447
GPM6BP3,chr22,17318412,17318556
ZNF402P,chr22,17338509,17341608
RCC2,chr1,17733256,17766220
TRIM41,chr5,180649499,180662809
NBR1,chr17,41322498,41363708
SLC9B1,chr4,103806205,103940896
KDM4B,chr19,4969125,5153606
FAM188B,chr7,30811033,30932002
FABP4,chr8,82390654,82395498
SLMAP,chr3,57741177,57914895
MTNR1B,chr11,92702886,92718232
FABP12,chr8,82437216,82443613
ARIH2,chr3,48956254,49023815
TRIT1,chr1,40306723,40349183
HLA-B,chr6,31321649,31324965
UTP3,chr4,71554196,71556267
DHRS1,chr14,24759804,24769039
SLC36A4,chr11,92877341,92931130
SLC2A12,chr6,134309835,134373774
SLC24A4,chr14,92788925,92962596
PTGS1,chr9,125132824,125157982
SLC6A8,chrX,152953554,152962048
PHTF1,chr1,114239453,114302111
AQP1,chr7,30893010,30965131
DRG2,chr17,17991200,18011285
HTR1A,chr5,63256183,63258334
NAE1,chr16,66836778,66907159
FANCI,chr15,89787180,89860492
WBSCR17,chr7,70597155,71178585
SHFM1,chr7,96110938,96339203
OR1J1,chr9,125239220,125240235
OR1J2,chr9,125273081,125274022
WISP1,chr8,134203282,134242587
OR1J4,chr9,125281420,125282361
OR1N1,chr9,125288637,125289572
GHRHR,chr7,30978284,31032869
OR1N2,chr9,125315391,125316493
TTC24,chr1,156549519,156556562
OR1L8,chr9,125329778,125330838
RUFY3,chr4,71569921,71673032
OR1Q1,chr9,125376948,125378026
CNNM1,chr10,101088856,101154087
FBXO34,chr14,55738021,55828636
OR1B1,chr9,125390858,125391852
SRR,chr17,2206677,2228554
GLB1L2,chr11,134201768,134248235
OR1L1,chr9,125423845,125424927
OR1L3,chr9,125437315,125438432
ATG14,chr14,55833110,55878576
RSBN1,chr1,114304454,114355098
OR1L4,chr9,125486269,125487204
OR1L6,chr9,125512019,125513062
CHCHD3,chr7,132469629,132766848
ARHGEF10L,chr1,17866330,18024369
OR5C1,chr9,125551150,125552237
NOP9,chr14,24769068,24778330
SLC9B2,chr4,103941025,104006986
PDCL,chr9,125560668,125590910
SGK1,chr6,134490384,134639250
CALN1,chr7,71244476,71912136
EEFSEC,chr3,127872297,128127485
OR1K1,chr9,125562370,125563395
RNF180,chr5,63461671,63668696
JPH2,chr20,42740335,42816218
SLC22A13,chr3,38307303,38319806
B3GAT1,chr11,134248398,134281812
DNAJB8,chr3,128181282,128186091
TBPL2,chr14,55880259,55923444
APOA1BP,chr1,156561554,156564091
